"","SITE_ID","HEIGHTC_DATE","HEIGHTC_STATISTIC","HEIGHTC","D","SENSOR_HEIGHT","ZM"
"74","US-Prr","20140911","Mean",2.53,1.68666666666667,16,14.3133333333333
"75","US-Slt","2005",NA,9.52,6.34666666666667,17,10.6533333333333
"76","US-Snd","20150219","Mean",0.074,0.0493333333333333,3.16,3.11066666666667
"77","US-SP1","2008",NA,24.2,16.1333333333333,30,13.8666666666667
"78","US-SRC","20081108","Mean",1.7,1.13333333333333,3.3,2.16666666666667
"79","US-SRG","20000101","Mean",0.5,0.333333333333333,3.25,2.91666666666667
"80","US-SRM","20060801","Mean",2.5,1.66666666666667,7.8,6.13333333333333
"81","US-Sta","20090501","Expert estimate",0.5,0.333333333333333,3,2.66666666666667
"82","US-Syv","20050404","Mean",27.5,18.3333333333333,36,17.6666666666667
"83","US-Ton","20090420","Mean",10.64,7.09333333333333,23.5,16.4066666666667
"84","US-Tw1","20170719","Mean",3.064,2.04266666666667,4.64,2.59733333333333
"85","US-Tw2","20120927","Mean",2.53,1.68666666666667,5.2,3.51333333333333
"86","US-Tw3","20180516","Mean",0.35,0.233333333333333,2.8,2.56666666666667
"87","US-Tw4","20170801","Mean",3.239,2.15933333333333,5.36,3.20066666666667
"88","US-Twt","20160812","Mean",0.85,0.566666666666667,3.18,2.61333333333333
"89","US-UMB","20150101","Mean",23,15.3333333333333,48,32.6666666666667
"90","US-UMd","20150101","Mean",23,15.3333333333333,32,16.6666666666667
"91","US-Var","20190430","Mean",0.297,0.198,2,1.802
"92","US-WCr","20050404","Mean",24.3,16.2,29.6,13.4
"93","US-Whs","20000101","Mean",1,0.666666666666667,6.5,5.83333333333333
"94","US-Wi0","20020701","Mean",4,2.66666666666667,6,3.33333333333333
"95","US-Wi4","20050701","Mean",18,12,23,11
"96","US-Wi9","20040701","Mean",2.3,1.53333333333333,9,7.46666666666667
"97","US-Wkg","20000101","Mean",0.5,0.333333333333333,6.4,6.06666666666667
"98","US-WPT","20130801","Mean",1.27,0.846666666666667,2.7,1.85333333333333
"99","US-Wrc",NA,NA,60,40,67,27
